Execucao,Linha,Coluna,Menor Soma Global,IndiceI,IndiceJ,alturaMenorXlarguraMenor,Submatrizes Percorridas,Tempo Total (s)
5,41,41,-80497,9,1,29x28,741321,0.316208
5,60,60,-158633,21,28,35x32,3348900,2.84222
5,64,64,-122979,56,10,7x30,4326400,4.12926
5,11,11,-910,0,0,10x7,4356,0.000224
5,31,31,-14896,15,4,14x9,246016,0.063472
5,12,12,-1957,5,1,5x11,6084,0.00032
5,37,37,-29113,9,1,28x19,494209,0.175584
5,42,42,-64769,7,6,35x22,815409,0.362736
5,52,52,-109523,19,0,20x48,1898884,1.24062
5,46,46,-89239,2,18,37x28,1168561,0.614416
5,77,77,-400077,21,2,45x32,9018009,12.0991
5,54,54,-127050,5,12,24x42,2205225,1.54355
5,48,48,-69315,6,5,10x40,1382976,0.781008
5,1,1,-1,0,0,1x1,1,0
5,78,78,-667707,0,0,60x69,9492561,12.9869
5,57,57,-261123,2,6,53x39,2732409,2.10237
5,33,33,-26253,18,6,15x26,314721,0.090048
5,17,17,-4046,2,9,15x8,23409,0.002016
5,6,6,-159,1,0,5x3,441,0
5,56,56,-159220,7,16,48x39,2547216,1.89554
5,50,50,-113440,31,0,19x28,1625625,0.984048
5,9,9,-413,2,1,4x5,2025,6.4e-05
5,8,8,-333,0,1,7x5,1296,4.8e-05
5,30,30,-23367,5,1,17x28,216225,0.052016
5,49,49,-89671,28,2,14x27,1500625,0.875536
5,5,5,-65,1,0,2x4,225,1.6e-05
5,63,63,-142194,0,14,17x42,4064256,3.75645
5,38,38,-33909,20,2,17x36,549081,0.202368
5,35,35,-32771,3,8,32x15,396900,0.126144
5,47,47,-69670,0,11,28x20,1272384,0.689328
5,26,26,-19376,2,0,20x25,123201,0.022784
5,73,73,-296417,11,0,39x35,7295401,8.87363
6,23,23,-17590,3,0,20x21,76176,0.01296
6,39,39,-42792,12,17,14x22,608400,0.23898
6,24,24,-14299,3,4,21x20,90000,0.014826
6,28,28,-13561,5,3,13x10,164836,0.035554
6,66,66,-344390,21,0,45x64,4888521,4.93317
6,67,67,-262577,6,8,60x29,5189284,5.38917
6,79,79,-406222,18,29,60x49,9985600,14.0289
6,10,10,-514,2,0,3x10,3025,0.000124
6,51,51,-153760,5,1,46x35,1758276,1.11128
6,40,40,-41468,0,33,37x7,672400,0.274626
6,80,80,-402170,30,14,49x57,10497600,15.1012
6,27,27,-8200,0,6,19x4,142884,0.028832
6,13,13,-1521,0,2,8x9,8281,0.000588
6,22,22,-5738,0,1,3x21,64009,0.009088
6,43,43,-52565,7,37,36x6,894916,0.414696
6,25,25,-10231,0,5,13x14,105625,0.0187
6,55,55,-129056,32,5,23x41,2371600,1.72031
6,14,14,-2317,2,0,12x9,11025,0.000668
6,72,72,-327809,34,20,38x52,6906384,8.18394
6,20,20,-3702,1,3,5x12,44100,0.0052
6,15,15,-2145,4,1,6x14,14400,0.001024
6,7,7,-284,4,0,2x7,784,1.6e-05
6,18,18,-4221,0,5,18x7,29241,0.00294
6,45,45,-100837,1,14,42x25,1071225,0.539888
6,4,4,-24,2,0,1x2,100,0
6,2,2,-6,1,0,1x2,9,0
6,74,74,-179177,12,1,12x48,7700625,9.66818
6,65,65,-149380,2,37,57x19,4601025,4.51915
6,3,3,-22,0,0,3x1,36,4e-06
6,61,61,-176515,0,23,60x32,3575881,3.12283
6,53,53,-127317,20,0,27x51,2047761,1.38409
6,32,32,-38938,4,2,26x26,278784,0.076224
6,75,75,-427790,21,16,49x55,8122500,10.3704
6,34,34,-46313,0,12,31x14,354025,0.107792
6,36,36,-58367,0,0,30x29,443556,0.150432
6,58,58,-188627,9,4,45x30,2927521,2.33498
6,19,19,-3439,7,2,9x5,36100,0.003912
6,68,68,-292209,8,15,59x50,5503716,5.86515
6,76,76,-356242,10,44,51x30,8561476,11.2005
6,70,70,-209499,47,4,23x66,6175225,6.95114
6,16,16,-4055,0,6,15x8,18496,0.001448
6,29,29,-16356,6,10,20x17,189225,0.043616
6,69,69,-242348,3,0,19x51,5832225,6.3857
6,59,59,-256693,13,1,38x45,3132900,2.57648
6,21,21,-6258,10,1,11x10,53361,0.006904
6,71,71,-454587,9,17,55x34,6533136,7.54106
6,44,44,-70042,17,3,22x34,980100,0.473688
6,62,62,-250979,0,0,25x51,3814209,3.43574
6,41,41,-80497,9,1,29x28,741321,0.315064
6,60,60,-158633,21,28,35x32,3348900,2.84803
6,64,64,-122979,56,10,7x30,4326400,4.13201
6,11,11,-910,0,0,10x7,4356,0.000176
6,31,31,-14896,15,4,14x9,246016,0.063712
6,12,12,-1957,5,1,5x11,6084,0.000416
6,37,37,-29113,9,1,28x19,494209,0.174432
6,42,42,-64769,7,6,35x22,815409,0.362944
6,52,52,-109523,19,0,20x48,1898884,1.2431
6,46,46,-89239,2,18,37x28,1168561,0.610784
6,77,77,-400077,21,2,45x32,9018009,12.1024
6,54,54,-127050,5,12,24x42,2205225,1.54822
6,48,48,-69315,6,5,10x40,1382976,0.783312
6,1,1,-1,0,0,1x1,1,0
6,78,78,-667707,0,0,60x69,9492561,13.0554
6,57,57,-261123,2,6,53x39,2732409,2.11016
6,33,33,-26253,18,6,15x26,314721,0.091184
6,17,17,-4046,2,9,15x8,23409,0.002048
6,6,6,-159,1,0,5x3,441,0
6,56,56,-159220,7,16,48x39,2547216,1.9087
6,50,50,-113440,31,0,19x28,1625625,0.990064
6,9,9,-413,2,1,4x5,2025,6.4e-05
6,8,8,-333,0,1,7x5,1296,4.8e-05
6,30,30,-23367,5,1,17x28,216225,0.052512
6,49,49,-89671,28,2,14x27,1500625,0.880592
6,5,5,-65,1,0,2x4,225,0
6,63,63,-142194,0,14,17x42,4064256,3.77037
6,38,38,-33909,20,2,17x36,549081,0.203696
6,35,35,-32771,3,8,32x15,396900,0.127792
6,47,47,-69670,0,11,28x20,1272384,0.691488
6,26,26,-19376,2,0,20x25,123201,0.02336
6,73,73,-296417,11,0,39x35,7295401,8.85733
7,23,23,-17590,3,0,20x21,76176,0.011598
7,39,39,-42792,12,17,14x22,608400,0.236485
7,24,24,-14299,3,4,21x20,90000,0.014765
7,28,28,-13561,5,3,13x10,164836,0.035595
7,66,66,-344390,21,0,45x64,4888521,4.93506
7,67,67,-262577,6,8,60x29,5189284,5.40104
7,79,79,-406222,18,29,60x49,9985600,14.0122
7,10,10,-514,2,0,3x10,3025,0.000132
7,51,51,-153760,5,1,46x35,1758276,1.1105
7,40,40,-41468,0,33,37x7,672400,0.27488
7,80,80,-402170,30,14,49x57,10497600,15.1221
7,27,27,-8200,0,6,19x4,142884,0.02922
7,13,13,-1521,0,2,8x9,8281,0.00048
7,22,22,-5738,0,1,3x21,64009,0.008964
7,43,43,-52565,7,37,36x6,894916,0.417824
7,25,25,-10231,0,5,13x14,105625,0.018796
7,55,55,-129056,32,5,23x41,2371600,1.7203
7,14,14,-2317,2,0,12x9,11025,0.000876
7,72,72,-327809,34,20,38x52,6906384,8.1873
7,20,20,-3702,1,3,5x12,44100,0.0052
7,15,15,-2145,4,1,6x14,14400,0.001016
7,7,7,-284,4,0,2x7,784,1.6e-05
7,18,18,-4221,0,5,18x7,29241,0.00284
7,45,45,-100837,1,14,42x25,1071225,0.539932
7,4,4,-24,2,0,1x2,100,4e-06
7,2,2,-6,1,0,1x2,9,0
7,74,74,-179177,12,1,12x48,7700625,9.6067
7,65,65,-149380,2,37,57x19,4601025,4.53117
7,3,3,-22,0,0,3x1,36,0
7,61,61,-176515,0,23,60x32,3575881,3.13051
7,53,53,-127317,20,0,27x51,2047761,1.39035
7,32,32,-38938,4,2,26x26,278784,0.076608
7,75,75,-427790,21,16,49x55,8122500,10.3614
7,34,34,-46313,0,12,31x14,354025,0.1084
7,36,36,-58367,0,0,30x29,443556,0.150168
7,58,58,-188627,9,4,45x30,2927521,2.36437
7,19,19,-3439,7,2,9x5,36100,0.004304
7,68,68,-292209,8,15,59x50,5503716,5.86751
7,76,76,-356242,10,44,51x30,8561476,11.2033
7,70,70,-209499,47,4,23x66,6175225,6.94409
7,16,16,-4055,0,6,15x8,18496,0.001456
7,29,29,-16356,6,10,20x17,189225,0.043656
7,69,69,-242348,3,0,19x51,5832225,6.39418
7,59,59,-256693,13,1,38x45,3132900,2.60226
7,21,21,-6258,10,1,11x10,53361,0.006848
